in:Run,in:WWR_N,in:WWR_W,in:WWR_S,in:WWR_E,in:Wall_U_Value,in:Chi_Value,in:Shading_N,in:Shading_W,in:Shading_S,in:Shading_E,in:Window_U_Value,in:SHGC,out:Illuminance %,out:EUI kWh/m2,N_illuminace,N_EUI,I_EUI,out:Value,img,threeD
122,70,30,70,30,0.284,0.48,5,5,5,5,0.48,0.5,53.079948,60.914223,0.604010037,0.30782463,0.69217537,0.648092704,Run122_Joyce Street.png,Run122.json
123,30,60,30,30,0.284,0.1,10,10,5,10,0.48,0.5,37.68021,56.768814,0.015037602,0.143545332,0.856454668,0.435746135,Run123_Joyce Street.png,Run123.json
124,40,40,40,40,0.189,0.1,5,10,5,10,1.4,0.7,44.888598,64.581328,0.290726827,0.453149116,0.546850884,0.418788856,Run124_Joyce Street.png,Run124.json
125,70,70,40,60,0.189,0.48,10,10,10,5,1.4,0.3,57.273919,75.857567,0.764411033,0.900017595,0.099982405,0.432196719,Run125_Joyce Street.png,Run125.json
126,70,60,70,40,0.284,0.1,5,10,10,5,1.4,0.7,59.305374,72.738316,0.842105277,0.776404132,0.223595868,0.532850572,Run126_Joyce Street.png,Run126.json
127,30,70,50,60,0.189,0.48,5,10,10,5,1.4,0.7,49.1481,66.08082,0.453634096,0.512572804,0.487427196,0.470530646,Run127_Joyce Street.png,Run127.json
128,60,30,50,60,0.141,0.1,10,5,10,5,0.48,0.5,53.669725,56.395695,0.626566421,0.12875892,0.87124108,0.74890375,Run128_Joyce Street.png,Run128.json
129,30,30,30,40,0.284,0.48,5,5,5,10,0.48,0.7,38.794233,57.566881,0.057644095,0.1751721,0.8248279,0.441235998,Run129_Joyce Street.png,Run129.json
130,30,40,50,60,0.141,0.1,10,10,5,10,0.48,0.3,42.070773,56.777797,0.18295738,0.143901322,0.856098678,0.519528029,Run130_Joyce Street.png,Run130.json
131,60,70,70,30,0.189,0.1,10,5,10,5,0.48,0.5,54.980341,55.974148,0.676691734,0.112053344,0.887946656,0.782319195,Run131_Joyce Street.png,Run131.json
132,30,70,30,50,0.189,0.48,10,10,10,5,1.4,0.7,41.218873,64.328802,0.150375941,0.443141709,0.556858291,0.353617116,Run132_Joyce Street.png,Run132.json
133,60,60,60,70,0.189,0.1,5,5,5,5,0.48,0.3,56.684142,57.655586,0.74185465,0.178687409,0.821312591,0.78158362,Run133_Joyce Street.png,Run133.json
134,60,60,70,30,0.141,0.48,10,5,10,10,1.4,0.7,53.145478,68.198283,0.606516272,0.596486197,0.403513803,0.505015038,Run134_Joyce Street.png,Run134.json
135,30,70,40,60,0.141,0.48,5,5,10,5,1.4,0.3,46.854522,69.597597,0.365914797,0.651939909,0.348060091,0.356987444,Run135_Joyce Street.png,Run135.json
136,40,30,70,30,0.284,0.48,10,10,10,5,0.48,0.3,45.347313,60.799121,0.308270664,0.303263228,0.696736772,0.502503718,Run136_Joyce Street.png,Run136.json
137,30,50,70,70,0.284,0.48,10,10,10,10,1.4,0.3,48.296199,75.598886,0.42105262,0.889766271,0.110233729,0.265643174,Run137_Joyce Street.png,Run137.json
138,70,50,30,30,0.189,0.1,5,10,10,10,1.4,0.5,48.951507,69.552771,0.446115276,0.65016349,0.34983651,0.397975893,Run138_Joyce Street.png,Run138.json
139,60,50,40,30,0.141,0.1,5,5,5,10,0.48,0.7,50.131062,60.683056,0.491228082,0.298663663,0.701336337,0.596282209,Run139_Joyce Street.png,Run139.json
140,70,50,60,60,0.284,0.48,5,10,10,5,0.48,0.5,60.026212,60.314351,0.869674169,0.284052174,0.715947826,0.792810997,Run140_Joyce Street.png,Run140.json
141,60,60,60,40,0.141,0.48,5,5,5,5,0.48,0.7,54.193971,66.315482,0.646616531,0.521872274,0.478127726,0.562372128,Run141_Joyce Street.png,Run141.json
142,70,70,30,30,0.141,0.48,5,5,5,10,1.4,0.3,51.179554,70.359583,0.531328302,0.682136815,0.317863185,0.424595743,Run142_Joyce Street.png,Run142.json
143,40,50,40,70,0.189,0.48,10,5,5,10,0.48,0.5,47.57536,56.335408,0.393483689,0.126369794,0.873630206,0.633556948,Run143_Joyce Street.png,Run143.json
144,50,30,50,40,0.284,0.48,5,5,10,10,1.4,0.5,49.803408,69.468283,0.478696753,0.646815297,0.353184703,0.415940728,Run144_Joyce Street.png,Run144.json
145,60,70,50,30,0.189,0.48,5,5,10,5,0.48,0.7,52.686763,62.273368,0.588972436,0.361686477,0.638313523,0.613642979,Run145_Joyce Street.png,Run145.json
146,30,30,40,30,0.189,0.48,5,10,10,5,1.4,0.7,38.401048,63.426784,0.042606494,0.407395445,0.592604555,0.317605524,Run146_Joyce Street.png,Run146.json
147,70,60,30,70,0.189,0.1,10,5,10,5,0.48,0.5,53.669725,58.086998,0.626566421,0.195783927,0.804216073,0.715391247,Run147_Joyce Street.png,Run147.json
148,60,60,30,70,0.141,0.1,10,5,5,5,0.48,0.3,53.079948,57.064466,0.604010037,0.155261789,0.844738211,0.724374124,Run148_Joyce Street.png,Run148.json
149,30,60,30,60,0.284,0.48,5,5,10,10,1.4,0.5,42.66055,68.095495,0.205513763,0.592412789,0.407587211,0.306550487,Run149_Joyce Street.png,Run149.json
150,30,30,60,30,0.189,0.48,5,5,5,10,0.48,0.7,40.366972,58.954185,0.117794464,0.230149866,0.769850134,0.443822299,Run150_Joyce Street.png,Run150.json
151,70,50,40,50,0.189,0.1,10,5,10,10,1.4,0.7,54.12844,68.360654,0.644110258,0.602920832,0.397079168,0.520594713,Run151_Joyce Street.png,Run151.json
152,30,70,40,70,0.189,0.48,5,10,10,10,0.48,0.3,47.640891,59.201114,0.395989963,0.239935468,0.760064532,0.578027247,Run152_Joyce Street.png,Run152.json
153,50,70,60,60,0.141,0.1,5,5,10,10,0.48,0.7,55.439056,61.104072,0.694235571,0.315348196,0.684651804,0.689443688,Run153_Joyce Street.png,Run153.json
154,60,70,30,50,0.284,0.48,5,5,5,10,0.48,0.5,51.703801,59.342892,0.55137845,0.245554018,0.754445982,0.652912216,Run154_Joyce Street.png,Run154.json
155,70,40,50,70,0.141,0.48,5,10,5,5,0.48,0.3,57.142857,58.908544,0.759398487,0.228341149,0.771658851,0.765528669,Run155_Joyce Street.png,Run155.json
156,30,60,70,60,0.189,0.1,5,10,5,10,0.48,0.3,45.93709,56.94714,0.330827047,0.150612252,0.849387748,0.590107398,Run156_Joyce Street.png,Run156.json
157,70,70,60,70,0.189,0.1,10,10,5,5,0.48,0.7,57.732634,64.130744,0.78195487,0.435292826,0.564707174,0.673331022,Run157_Joyce Street.png,Run157.json
158,30,70,40,50,0.141,0.1,10,10,10,5,1.4,0.5,44.692005,65.944041,0.283208007,0.50715236,0.49284764,0.388027824,Run158_Joyce Street.png,Run158.json
159,50,70,40,70,0.284,0.48,5,10,5,10,0.48,0.7,53.342071,61.217233,0.614035092,0.319832678,0.680167322,0.647101207,Run159_Joyce Street.png,Run159.json
160,40,70,60,40,0.284,0.48,10,10,5,5,0.48,0.3,48.230668,58.940122,0.418546346,0.22959256,0.77040744,0.594476893,Run160_Joyce Street.png,Run160.json
161,60,40,40,40,0.284,0.1,5,10,10,10,1.4,0.7,51.310616,69.193048,0.536340849,0.635907951,0.364092049,0.450216449,Run161_Joyce Street.png,Run161.json
162,30,30,40,60,0.141,0.48,5,10,10,10,0.48,0.7,41.743119,55.702934,0.170426051,0.101305347,0.898694653,0.534560352,Run162_Joyce Street.png,Run162.json
163,30,70,50,50,0.284,0.48,5,10,10,10,1.4,0.5,46.854522,69.216099,0.365914797,0.636821444,0.363178556,0.364546677,Run163_Joyce Street.png,Run163.json
164,60,70,70,70,0.284,0.1,5,5,10,5,1.4,0.7,59.764089,74.85408,0.859649114,0.860250195,0.139749805,0.49969946,Run164_Joyce Street.png,Run164.json
